,onehotencoder__embarked_Q,onehotencoder__embarked_S,ordinalencoder__sex,ordinalencoder__who,ordinalencoder__adult_male,ordinalencoder__embarked,remainder__survived,remainder__pclass,remainder__age,remainder__sibsp,remainder__parch,remainder__fare
122,0.0,0.0,1.0,1.0,1.0,0.0,0,3,33.0,0,0,7.8958
123,0.0,1.0,1.0,1.0,1.0,2.0,0,3,20.0,0,0,7.05
124,0.0,1.0,0.0,2.0,0.0,2.0,0,3,47.0,1,0,14.5
125,0.0,1.0,1.0,1.0,1.0,2.0,0,2,25.0,0,0,13.0
126,0.0,0.0,1.0,1.0,1.0,0.0,0,2,23.0,0,0,15.0458
127,0.0,1.0,0.0,2.0,0.0,2.0,1,1,19.0,0,2,26.2833
128,0.0,1.0,1.0,1.0,1.0,2.0,0,1,37.0,1,0,53.1
129,0.0,1.0,1.0,1.0,1.0,2.0,0,3,16.0,0,0,9.2167
130,0.0,0.0,1.0,1.0,1.0,0.0,0,1,24.0,0,0,79.2
131,0.0,0.0,0.0,2.0,0.0,0.0,0,3,24.0,0,2,15.2458
132,0.0,1.0,0.0,2.0,0.0,2.0,1,3,22.0,0,0,7.75
133,0.0,1.0,0.0,2.0,0.0,2.0,1,3,24.0,1,0,15.85
134,1.0,0.0,1.0,1.0,1.0,1.0,0,3,19.0,0,0,6.75
135,0.0,1.0,1.0,1.0,1.0,2.0,0,2,18.0,0,0,11.5
136,0.0,1.0,1.0,1.0,1.0,2.0,0,2,19.0,1,1,36.75
137,0.0,1.0,1.0,1.0,1.0,2.0,1,3,27.0,0,0,7.7958
138,0.0,1.0,0.0,0.0,0.0,2.0,0,3,9.0,2,2,34.375
139,0.0,1.0,1.0,1.0,1.0,2.0,0,2,36.5,0,2,26.0
140,0.0,1.0,1.0,1.0,1.0,2.0,0,2,42.0,0,0,13.0
141,0.0,1.0,1.0,1.0,1.0,2.0,0,2,51.0,0,0,12.525
142,0.0,1.0,0.0,2.0,0.0,2.0,1,1,22.0,1,0,66.6
143,0.0,1.0,1.0,1.0,1.0,2.0,0,3,55.5,0,0,8.05
144,0.0,1.0,1.0,1.0,1.0,2.0,0,3,40.5,0,2,14.5
145,0.0,1.0,1.0,1.0,1.0,2.0,0,3,40.5,0,0,7.3125
146,0.0,0.0,1.0,1.0,1.0,0.0,0,1,51.0,0,1,61.3792
147,1.0,0.0,0.0,2.0,0.0,1.0,1,3,16.0,0,0,7.7333
148,0.0,1.0,1.0,1.0,1.0,2.0,0,3,30.0,0,0,8.05
149,0.0,1.0,1.0,1.0,1.0,2.0,0,3,30.0,0,0,8.6625
150,0.0,1.0,1.0,1.0,1.0,2.0,0,3,30.0,8,2,69.55
151,0.0,1.0,1.0,1.0,1.0,2.0,0,3,44.0,0,1,16.1
152,0.0,1.0,0.0,2.0,0.0,2.0,1,2,40.0,0,0,15.75
153,0.0,1.0,1.0,1.0,1.0,2.0,0,3,26.0,0,0,7.775
154,0.0,1.0,1.0,1.0,1.0,2.0,0,3,17.0,0,0,8.6625
155,0.0,1.0,1.0,0.0,0.0,2.0,0,3,1.0,4,1,39.6875
156,0.0,1.0,1.0,0.0,0.0,2.0,1,3,9.0,0,2,20.525
157,0.0,1.0,0.0,2.0,0.0,2.0,1,1,9.0,0,1,55.0
158,0.0,1.0,0.0,2.0,0.0,2.0,0,3,45.0,1,4,27.9
159,0.0,1.0,1.0,1.0,1.0,2.0,0,1,45.0,0,0,25.925
160,0.0,1.0,1.0,1.0,1.0,2.0,0,3,28.0,0,0,56.4958
161,0.0,1.0,1.0,1.0,1.0,2.0,0,1,61.0,0,0,33.5
162,1.0,0.0,1.0,0.0,0.0,1.0,0,3,4.0,4,1,29.125
163,0.0,1.0,0.0,0.0,0.0,2.0,1,3,1.0,1,1,11.1333
164,0.0,0.0,1.0,1.0,1.0,0.0,0,1,56.0,0,0,30.6958
165,0.0,1.0,1.0,1.0,1.0,2.0,0,3,18.0,1,1,7.8542
166,0.0,1.0,1.0,1.0,1.0,2.0,0,3,18.0,3,1,25.4667
167,0.0,0.0,0.0,2.0,0.0,0.0,0,1,50.0,0,0,28.7125
168,0.0,1.0,1.0,1.0,1.0,2.0,0,2,30.0,0,0,13.0
169,0.0,1.0,1.0,1.0,1.0,2.0,0,3,36.0,0,0,0.0
170,0.0,1.0,0.0,2.0,0.0,2.0,0,3,36.0,8,2,69.55
171,0.0,0.0,1.0,1.0,1.0,0.0,0,2,36.0,0,0,15.05
172,0.0,1.0,1.0,0.0,0.0,2.0,0,3,9.0,4,2,31.3875
173,0.0,1.0,1.0,0.0,0.0,2.0,1,2,1.0,2,1,39.0
174,0.0,1.0,0.0,0.0,0.0,2.0,1,3,4.0,0,2,22.025
175,0.0,1.0,1.0,1.0,1.0,2.0,0,1,4.0,0,0,50.0
176,1.0,0.0,0.0,2.0,0.0,1.0,1,3,4.0,1,0,15.5
177,0.0,1.0,1.0,1.0,1.0,2.0,1,1,45.0,0,0,26.55
178,1.0,0.0,1.0,1.0,1.0,1.0,0,3,40.0,1,1,15.5
179,0.0,1.0,1.0,1.0,1.0,2.0,0,3,36.0,0,0,7.8958
180,0.0,1.0,0.0,2.0,0.0,2.0,1,2,32.0,0,0,13.0
181,0.0,1.0,1.0,1.0,1.0,2.0,0,2,19.0,0,0,13.0
182,0.0,1.0,0.0,2.0,0.0,2.0,1,3,19.0,1,0,7.8542
183,0.0,1.0,1.0,0.0,0.0,2.0,1,2,3.0,1,1,26.0
184,0.0,0.0,0.0,2.0,0.0,0.0,1,1,44.0,0,0,27.7208
185,0.0,0.0,0.0,2.0,0.0,0.0,1,1,58.0,0,0,146.5208
186,0.0,1.0,1.0,1.0,1.0,2.0,0,3,42.0,0,1,8.4042
187,0.0,1.0,0.0,2.0,0.0,2.0,0,2,24.0,0,0,13.0
188,0.0,1.0,1.0,1.0,1.0,2.0,0,3,28.0,0,0,9.5
189,0.0,1.0,1.0,1.0,1.0,2.0,0,3,34.0,0,0,6.4958
190,0.0,0.0,1.0,1.0,1.0,0.0,0,3,45.5,0,0,7.225
191,0.0,1.0,1.0,1.0,1.0,2.0,1,3,18.0,0,0,8.05
192,0.0,1.0,0.0,0.0,0.0,2.0,0,3,2.0,0,1,10.4625
193,0.0,1.0,1.0,1.0,1.0,2.0,0,3,32.0,1,0,15.85
194,0.0,0.0,1.0,1.0,1.0,0.0,1,3,26.0,0,0,18.7875
195,1.0,0.0,0.0,2.0,0.0,1.0,1,3,16.0,0,0,7.75
196,0.0,0.0,1.0,1.0,1.0,0.0,1,1,40.0,0,0,31.0
197,0.0,1.0,1.0,1.0,1.0,2.0,0,3,24.0,0,0,7.05
198,0.0,1.0,0.0,2.0,0.0,2.0,1,2,35.0,0,0,21.0
199,0.0,1.0,1.0,1.0,1.0,2.0,0,3,22.0,0,0,7.25
200,1.0,0.0,1.0,1.0,1.0,1.0,0,3,22.0,1,0,7.75
201,0.0,0.0,0.0,2.0,0.0,0.0,1,1,31.0,1,0,113.275
202,0.0,1.0,0.0,2.0,0.0,2.0,1,3,27.0,0,0,7.925
203,0.0,1.0,1.0,1.0,1.0,2.0,0,2,42.0,1,0,27.0
204,0.0,0.0,0.0,2.0,0.0,0.0,1,1,32.0,0,0,76.2917
205,0.0,1.0,1.0,1.0,1.0,2.0,0,2,30.0,0,0,10.5
206,0.0,1.0,1.0,1.0,1.0,2.0,1,3,16.0,0,0,8.05
207,0.0,1.0,1.0,1.0,1.0,2.0,0,2,27.0,0,0,13.0
208,0.0,1.0,1.0,1.0,1.0,2.0,0,3,51.0,0,0,8.05
209,0.0,1.0,1.0,1.0,1.0,2.0,1,1,38.0,1,0,90.0
210,0.0,1.0,1.0,1.0,1.0,2.0,0,3,22.0,0,0,9.35
211,0.0,1.0,1.0,1.0,1.0,2.0,1,2,19.0,0,0,10.5
212,0.0,1.0,1.0,1.0,1.0,2.0,0,3,20.5,0,0,7.25
213,0.0,1.0,1.0,1.0,1.0,2.0,0,2,18.0,0,0,13.0
214,0.0,1.0,0.0,2.0,0.0,2.0,0,3,18.0,3,1,25.4667
215,0.0,1.0,0.0,2.0,0.0,2.0,1,1,35.0,1,0,83.475
216,0.0,1.0,1.0,1.0,1.0,2.0,0,3,29.0,0,0,7.775
217,0.0,1.0,1.0,1.0,1.0,2.0,0,2,59.0,0,0,13.5
218,0.0,1.0,0.0,0.0,0.0,2.0,1,3,5.0,4,2,31.3875
219,0.0,1.0,1.0,1.0,1.0,2.0,0,2,24.0,0,0,10.5
220,0.0,1.0,0.0,2.0,0.0,2.0,0,3,24.0,0,0,7.55
221,0.0,1.0,1.0,1.0,1.0,2.0,0,2,44.0,1,0,26.0
222,0.0,1.0,0.0,0.0,0.0,2.0,1,2,8.0,0,2,26.25
223,0.0,1.0,1.0,1.0,1.0,2.0,0,2,19.0,0,0,10.5
224,0.0,1.0,1.0,1.0,1.0,2.0,0,2,33.0,0,0,12.275
225,0.0,0.0,0.0,2.0,0.0,0.0,0,3,33.0,1,0,14.4542
226,0.0,1.0,1.0,1.0,1.0,2.0,0,2,29.0,0,0,10.5
227,0.0,1.0,1.0,1.0,1.0,2.0,0,3,22.0,0,0,7.125
228,0.0,0.0,1.0,1.0,1.0,0.0,0,3,30.0,0,0,7.225
229,1.0,0.0,1.0,1.0,1.0,1.0,0,1,44.0,2,0,90.0
230,0.0,1.0,0.0,2.0,0.0,2.0,0,3,25.0,0,0,7.775
231,0.0,1.0,0.0,2.0,0.0,2.0,1,2,24.0,0,2,14.5
232,0.0,1.0,1.0,1.0,1.0,2.0,1,1,37.0,1,1,52.5542
233,0.0,1.0,1.0,1.0,1.0,2.0,0,2,54.0,1,0,26.0
234,0.0,1.0,1.0,1.0,1.0,2.0,0,3,54.0,0,0,7.25
235,0.0,1.0,0.0,2.0,0.0,2.0,0,3,29.0,1,1,10.4625
236,0.0,1.0,1.0,1.0,1.0,2.0,0,1,62.0,0,0,26.55
237,0.0,1.0,1.0,1.0,1.0,2.0,0,3,30.0,1,0,16.1
238,0.0,1.0,0.0,2.0,0.0,2.0,0,3,41.0,0,2,20.2125
239,0.0,0.0,0.0,2.0,0.0,0.0,1,3,29.0,0,2,15.2458
240,0.0,0.0,0.0,2.0,0.0,0.0,1,1,29.0,0,0,79.2
241,0.0,1.0,0.0,2.0,0.0,2.0,1,1,30.0,0,0,86.5
242,0.0,0.0,0.0,2.0,0.0,0.0,1,1,35.0,0,0,512.3292
243,0.0,1.0,0.0,2.0,0.0,2.0,1,2,50.0,0,1,26.0
244,0.0,1.0,1.0,0.0,0.0,2.0,1,3,3.0,4,2,31.3875
245,0.0,1.0,1.0,1.0,1.0,2.0,0,1,52.0,1,1,79.65
246,0.0,1.0,1.0,1.0,1.0,2.0,0,1,40.0,0,0,0.0
247,1.0,0.0,0.0,2.0,0.0,1.0,0,3,40.0,0,0,7.75
248,0.0,1.0,1.0,1.0,1.0,2.0,0,2,36.0,0,0,10.5
249,0.0,1.0,1.0,1.0,1.0,2.0,0,3,16.0,4,1,39.6875
250,0.0,1.0,1.0,1.0,1.0,2.0,1,3,25.0,1,0,7.775
251,0.0,1.0,0.0,2.0,0.0,2.0,1,1,58.0,0,1,153.4625
252,0.0,1.0,0.0,2.0,0.0,2.0,1,1,35.0,0,0,135.6333
253,0.0,1.0,1.0,1.0,1.0,2.0,0,1,35.0,0,0,31.0
254,0.0,1.0,1.0,1.0,1.0,2.0,1,3,25.0,0,0,0.0
255,0.0,1.0,0.0,2.0,0.0,2.0,1,2,41.0,0,1,19.5
256,0.0,0.0,1.0,1.0,1.0,0.0,0,1,37.0,0,1,29.7
257,0.0,1.0,0.0,2.0,0.0,2.0,1,1,63.0,1,0,77.9583
258,0.0,1.0,0.0,2.0,0.0,2.0,0,3,45.0,0,0,7.75
259,0.0,1.0,1.0,1.0,1.0,2.0,0,2,45.0,0,0,0.0
260,1.0,0.0,1.0,0.0,0.0,1.0,0,3,7.0,4,1,29.125
261,0.0,1.0,0.0,2.0,0.0,2.0,1,3,35.0,1,1,20.25
262,1.0,0.0,1.0,1.0,1.0,1.0,0,3,65.0,0,0,7.75
263,0.0,1.0,1.0,1.0,1.0,2.0,0,3,28.0,0,0,7.8542
264,0.0,1.0,1.0,1.0,1.0,2.0,0,3,16.0,0,0,9.5
265,0.0,1.0,1.0,1.0,1.0,2.0,1,3,19.0,0,0,8.05
266,0.0,1.0,1.0,1.0,1.0,2.0,0,1,19.0,0,0,26.0
267,0.0,0.0,1.0,1.0,1.0,0.0,0,3,33.0,0,0,8.6625
268,0.0,1.0,1.0,1.0,1.0,2.0,1,3,30.0,0,0,9.5
269,0.0,1.0,1.0,1.0,1.0,2.0,0,3,22.0,0,0,7.8958
270,0.0,1.0,1.0,1.0,1.0,2.0,1,2,42.0,0,0,13.0
271,1.0,0.0,0.0,2.0,0.0,1.0,1,3,22.0,0,0,7.75
272,0.0,1.0,0.0,2.0,0.0,2.0,1,1,26.0,0,0,78.85
273,0.0,0.0,0.0,2.0,0.0,0.0,1,1,19.0,1,0,91.0792
274,0.0,0.0,1.0,1.0,1.0,0.0,0,2,36.0,0,0,12.875
275,0.0,1.0,0.0,2.0,0.0,2.0,0,3,24.0,0,0,8.85
276,0.0,1.0,1.0,1.0,1.0,2.0,0,3,24.0,0,0,7.8958
277,0.0,0.0,1.0,1.0,1.0,0.0,0,3,23.5,0,0,7.2292
278,0.0,1.0,0.0,0.0,0.0,2.0,0,1,2.0,1,2,151.55
279,0.0,1.0,1.0,1.0,1.0,2.0,1,1,2.0,0,0,30.5
280,0.0,0.0,0.0,2.0,0.0,0.0,1,1,50.0,0,1,247.5208
281,1.0,0.0,1.0,1.0,1.0,1.0,1,3,50.0,2,0,23.25
282,0.0,1.0,1.0,1.0,1.0,2.0,0,3,19.0,0,0,0.0
283,1.0,0.0,0.0,2.0,0.0,1.0,1,2,19.0,0,0,12.35
284,0.0,1.0,1.0,0.0,0.0,2.0,1,1,0.92,1,2,151.55
285,0.0,0.0,0.0,2.0,0.0,0.0,1,1,0.92,0,0,110.8833
286,0.0,0.0,0.0,2.0,0.0,0.0,1,1,17.0,1,0,108.9
287,0.0,0.0,1.0,1.0,1.0,0.0,0,2,30.0,1,0,24.0
288,0.0,0.0,0.0,2.0,0.0,0.0,1,1,30.0,0,0,56.9292
289,0.0,0.0,0.0,2.0,0.0,0.0,1,1,24.0,0,0,83.1583
290,0.0,0.0,0.0,2.0,0.0,0.0,1,1,18.0,2,2,262.375
291,0.0,1.0,0.0,2.0,0.0,2.0,0,2,26.0,1,1,26.0
292,0.0,1.0,1.0,1.0,1.0,2.0,0,2,43.0,1,1,26.25
293,0.0,1.0,0.0,2.0,0.0,2.0,1,3,26.0,0,0,7.8542
294,0.0,1.0,0.0,2.0,0.0,2.0,1,2,24.0,1,0,26.0
295,0.0,1.0,1.0,1.0,1.0,2.0,0,2,54.0,0,0,14.0
296,0.0,1.0,0.0,2.0,0.0,2.0,1,1,31.0,0,2,164.8667
297,0.0,0.0,0.0,2.0,0.0,0.0,1,1,40.0,1,1,134.5
298,0.0,1.0,1.0,1.0,1.0,2.0,0,3,27.0,0,0,7.8958
299,1.0,0.0,0.0,2.0,0.0,1.0,1,2,30.0,0,0,12.35
300,0.0,1.0,0.0,2.0,0.0,2.0,1,2,22.0,1,1,29.0
301,0.0,0.0,0.0,2.0,0.0,0.0,1,1,36.0,0,0,135.6333
302,0.0,1.0,1.0,1.0,1.0,2.0,0,3,61.0,0,0,6.2375
303,0.0,1.0,0.0,2.0,0.0,2.0,1,2,36.0,0,0,13.0
304,0.0,1.0,0.0,2.0,0.0,2.0,1,3,31.0,1,1,20.525
305,0.0,0.0,0.0,2.0,0.0,0.0,1,1,16.0,0,1,57.9792
306,1.0,0.0,0.0,2.0,0.0,1.0,1,3,16.0,2,0,23.25
307,0.0,1.0,1.0,1.0,1.0,2.0,0,1,45.5,0,0,28.5
308,0.0,1.0,1.0,1.0,1.0,2.0,0,1,38.0,0,1,153.4625
309,0.0,1.0,1.0,1.0,1.0,2.0,0,3,16.0,2,0,18.0
310,0.0,1.0,0.0,2.0,0.0,2.0,1,1,16.0,1,0,133.65
311,0.0,1.0,1.0,1.0,1.0,2.0,0,1,29.0,1,0,66.6
312,0.0,0.0,0.0,2.0,0.0,0.0,1,1,41.0,0,0,134.5
313,0.0,1.0,1.0,1.0,1.0,2.0,1,3,45.0,0,0,8.05
314,0.0,1.0,1.0,1.0,1.0,2.0,0,1,45.0,0,0,35.5
315,0.0,1.0,1.0,0.0,0.0,2.0,1,2,2.0,1,1,26.0
316,0.0,1.0,0.0,2.0,0.0,2.0,1,1,24.0,3,2,263.0
317,0.0,1.0,1.0,1.0,1.0,2.0,0,2,28.0,0,0,13.0
318,0.0,1.0,1.0,1.0,1.0,2.0,0,2,36.0,0,0,13.0
319,0.0,1.0,0.0,2.0,0.0,2.0,1,2,24.0,0,0,13.0
320,0.0,1.0,0.0,2.0,0.0,2.0,1,2,40.0,0,0,13.0
321,0.0,1.0,0.0,2.0,0.0,2.0,1,3,40.0,1,0,16.1
322,0.0,1.0,1.0,0.0,0.0,2.0,1,3,3.0,1,1,15.9
323,0.0,1.0,1.0,1.0,1.0,2.0,0,3,42.0,0,0,8.6625
324,0.0,1.0,1.0,1.0,1.0,2.0,0,3,23.0,0,0,9.225
